image_idx,condition,gt_smiles,pred_smiles,valid,exact_match,tanimoto
0,clean,C\1=C/C(=N\Br)/C(=C/C1=N/Br)Cl,C1=CC(=NBr)C(=CC1=NBr)Cl,True,False,1.0
0,mild,C\1=C/C(=N\Br)/C(=C/C1=N/Br)Cl,C1=CC(=NBr)C(=CC1=NBr)Cl,True,False,1.0
0,moderate,C\1=C/C(=N\Br)/C(=C/C1=N/Br)Cl,C1=CC(=NBr)C(=CC1=NBr)Cl,True,False,1.0
0,severe,C\1=C/C(=N\Br)/C(=C/C1=N/Br)Cl,C1=CC(=NBr)C(=CC1=NBr)Cl,True,False,1.0
1,clean,CSP1(=S)SP(=S)(S1)SC,CSP1(=S)SP(=S)(SC)S1,True,True,1.0
1,mild,CSP1(=S)SP(=S)(S1)SC,CSP1(=S)SP(=S)(SC)S1,True,True,1.0
1,moderate,CSP1(=S)SP(=S)(S1)SC,CSP1(=S)SP(=S)(SC)S1,True,True,1.0
1,severe,CSP1(=S)SP(=S)(S1)SC,CSP1(=S)SP(=S)(SC)S1,True,True,1.0
2,clean,CCCCCCCCCCCCCCCCSCCCCPCOO,CCCCCCCCCCCCCCCCSCCCC[R19a]([H])([H])CCOCO,False,False,0.0
2,mild,CCCCCCCCCCCCCCCCSCCCCPCOO,CCCCCCCCCCCCCCCCSCCCCP(CCOCO)I,True,False,0.37209302325581395
2,moderate,CCCCCCCCCCCCCCCCSCCCCPCOO,CCCCCCCCCCCCCCCCSCCCCP(CC)CCOCCO,True,False,0.36363636363636365
2,severe,CCCCCCCCCCCCCCCCSCCCCPCOO,CCCCCCCCCCCCCCCCSCCCCP(CC)CCCOCCO,True,False,0.36363636363636365
3,clean,C[C@@H]1CC[C@H]2[C@@]3(CO3)C(O[C@H]4[C@@]25[C@H]1CC[C@](O4)(OO5)C)O,C[C@@H]1CC[C@@H]2[C@@]3(CO3)C(O)O[C@@]4([2H])[C@]52[C@@]1(C)CC[C@](C)(O4)OO5,True,False,0.4642857142857143
